S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
187,S A I L,128.95,19.15,53263.10,1.26,418.72,-29.04,26704.17,8.22,6.76
188,F A C T,815.25,581.52,52752.52,0.02,20.86,86.42,1629.30,12.47,8.65
189,Meesho,169.95,,52392.39,,,,,-8.85
190,Sundaram Finance,4677.80,26.38,51972.16,0.74,488.12,11.92,2385.64,14.44,9.64
191,Nippon Life Ind.,814.35,38.84,51873.52,2.14,344.64,-4.29,658.12,15.20,40.69
192,Bharat Dynamics,1401.25,78.50,51364.54,0.33,215.88,76.19,1147.03,110.55,19.66
193,Tata Comm,1800.00,51.37,51300.02,1.38,183.21,-18.24,6099.75,6.49,14.79
194,Tube Investments,2630.00,81.15,50892.84,0.13,302.05,-9.73,5522.64,12.15,21.80
195,P I Industries,3350.45,33.62,50832.39,0.47,409.30,-19.46,1872.30,-15.70,22.86
196,Biocon,379.40,106.89,50724.47,0.13,132.80,486.23,4295.50,19.64,6.25
197,Multi Comm. Exc.,9879.95,72.38,50386.18,0.29,197.47,28.54,374.23,31.04,42.86
198,Motil.Oswal.Fin.,834.00,24.76,50105.24,0.59,362.56,-67.64,1849.11,-34.91,18.67
199,Linde India,5868.70,98.89,50048.24,0.08,169.01,61.90,644.19,1.54,16.90
200,L&T Technology,4576.85,38.03,48508.63,1.19,329.20,2.85,2979.50,15.80,28.29
201,M & M Fin. Serv.,347.30,19.43,48273.69,1.86,566.07,44.95,5026.19,12.56,8.77
202,APL Apollo Tubes,1736.70,45.93,48217.01,0.33,301.54,460.38,5206.30,9.06,22.36
203,Natl. Aluminium,262.45,7.96,48202.41,4.00,1429.94,36.71,4292.34,7.27,43.96
204,Kalyan Jewellers,462.65,51.22,47776.08,0.32,260.51,99.46,7856.03,29.52,15.03
205,Altius Telecom,153.06,52.20,46643.50,5.63,280.00,33.08,6080.20,51.15,8.17
206,Hexaware Tech.,735.05,32.16,44912.70,1.53,369.90,22.34,3483.60,11.09,29.52
207,Balkrishna Inds,2319.90,32.49,44847.64,0.69,273.19,-21.26,2393.45,-1.09,16.67
208,360 ONE,1103.60,39.70,44702.10,1.08,315.48,28.51,1114.95,28.87,14.91
209,Voltas,1344.00,81.12,44470.91,0.52,31.50,-74.41,2347.32,-10.38,17.64
210,Godfrey Phillips,2828.50,34.60,44119.37,1.08,304.99,18.71,1289.03,-5.24,26.32
211,Glaxosmi. Pharma,2593.20,46.12,43930.33,1.64,257.49,2.57,979.94,-3.05,63.25
212,United Breweries,1661.20,115.55,43922.95,0.60,46.34,-64.80,2052.83,-3.02,13.88
213,Bank of Maha,56.77,7.12,43664.93,2.64,1668.61,25.20,7128.36,18.46,5.72
214,Radico Khaitan,3237.00,93.37,43341.35,0.12,138.96,69.07,1493.93,33.83,16.24
215,Authum Invest,2530.00,10.69,42970.91,0.04,764.59,-9.38,595.19,-45.45,30.85
216,Cochin Shipyard,1613.85,56.03,42457.21,0.59,101.09,-47.64,951.30,-13.28,20.35
217,J K Cements,5480.30,40.94,42345.32,0.27,159.25,275.56,3019.20,17.93,13.99
218,H U D C O,211.05,15.08,42250.06,1.92,709.83,3.08,3219.03,27.85,9.62
219,Supreme Inds.,3305.90,49.50,41993.84,1.03,164.74,-20.26,2393.87,5.32,22.04
220,Embassy Off.REIT,438.42,137.29,41557.52,0.10,232.18,-84.83,1124.41,12.74,3.64
221,Page Industries,36672.65,53.54,40904.20,2.43,194.76,-0.26,1290.86,3.58,59.40
222,Escorts Kubota,3652.20,34.31,40860.00,0.75,318.11,5.99,2791.56,22.58,13.59
223,P & G Hygiene,12580.00,49.39,40835.60,0.88,209.86,-0.96,1150.17,1.32,103.79
224,Petronet LNG,270.05,11.03,40507.50,3.67,830.30,-4.63,11009.13,-15.47,25.39
225,ITC Hotels,192.30,54.29,40051.29,0.00,133.29,74.31,839.48,7.91,9.63
226,Premier Energies,864.10,32.82,39143.20,0.12,353.44,71.61,1836.87,20.28,41.12
227,3M India,34620.00,70.40,39016.73,0.45,191.34,43.03,1266.49,14.02,38.17
